CAR,TYPE,MSG0,MSG1,MSG2,MSG3,MSG4,MSG5,TIME
5,0,85,A0,82,80,91,49,22:1:185
6,0,86,A0,82,80,91,4A,22:1:195
7,0,87,A0,82,80,91,4B,22:1:205
8,0,88,A0,82,80,91,44,22:1:215
1,0,81,A0,82,80,92,4E,22:1:225
2,0,82,A0,82,80,92,4D,22:1:235
3,0,83,A0,82,80,92,4C,22:1:245
4,0,84,A0,82,80,92,4B,22:1:255
5,0,85,A0,82,80,92,4A,22:1:265
6,0,86,A0,82,80,92,49,22:1:275
7,0,87,A0,82,80,92,48,22:1:295
8,0,88,A0,82,80,92,47,22:1:305
1,0,81,A0,82,80,93,4F,22:1:315
2,0,82,A0,82,80,93,4C,22:1:325
3,0,83,A0,82,80,93,4D,22:1:335
4,0,84,A0,82,80,93,4A,22:1:345
5,0,85,A0,82,80,93,4B,22:1:355
6,0,86,A0,82,80,93,48,22:1:365
7,0,87,A0,82,80,93,49,22:1:375
8,0,88,A0,82,80,93,46,22:1:385
1,0,81,A0,82,80,94,48,22:1:405
2,0,82,A0,82,80,94,4B,22:1:415
3,0,83,A0,82,80,94,4A,22:1:425
4,0,84,A0,82,80,94,4D,22:1:435
5,0,85,A0,82,80,94,4C,22:1:445
6,0,86,A0,82,80,94,4F,22:1:455
7,0,87,A0,82,80,94,4E,22:1:465
8,0,88,A0,82,80,94,41,22:1:476
1,0,81,A0,82,80,95,49,22:1:486
2,0,82,A0,82,80,95,4A,22:1:496
3,0,83,A0,82,80,95,4B,22:1:516
4,0,84,A0,82,80,95,4C,22:1:526
5,0,85,A0,82,80,95,4D,22:1:536
6,0,86,A0,82,80,95,4E,22:1:546
7,0,87,A0,82,80,95,4F,22:1:556
8,0,88,A0,82,80,95,40,22:1:566
1,0,81,A0,82,80,96,4A,22:1:576
2,0,82,A0,82,80,96,49,22:1:586
3,0,83,A0,82,80,96,48,22:1:596
4,0,84,A0,82,80,96,4F,22:1:616
5,0,85,A0,82,80,96,4E,22:1:626
6,0,86,A0,82,80,96,4D,22:1:636
7,0,87,A0,82,80,96,4C,22:1:646
8,0,88,A0,82,80,96,43,22:1:656
1,0,81,A0,82,80,97,4B,22:1:666
2,0,82,A0,82,80,97,48,22:1:676
3,0,83,A0,82,80,97,49,22:1:686
4,0,84,A0,82,80,97,4E,22:1:696
5,0,85,A0,82,80,97,4F,22:1:706
6,0,86,A0,82,80,97,4C,22:1:716
7,0,87,A0,82,80,97,4D,22:1:736
8,0,88,A0,82,80,97,42,22:1:746
1,0,81,A0,82,80,98,44,22:1:756
2,0,82,A0,82,80,98,47,22:1:766
3,0,83,A0,82,80,98,46,22:1:776
4,0,84,A0,82,80,98,41,22:1:786
5,0,85,A0,82,80,98,40,22:1:796
6,0,86,A0,82,80,98,43,22:1:806
7,0,87,A0,82,80,98,42,22:1:816
8,0,88,A0,82,80,98,4D,22:1:826
1,0,81,A0,82,80,99,45,22:1:846
2,0,82,A0,82,80,99,46,22:1:856
3,0,83,A0,82,80,99,47,22:1:866
4,0,84,A0,82,80,99,40,22:1:876
5,0,85,A0,82,80,99,41,22:1:886
6,0,86,A0,82,80,99,42,22:1:896
7,0,87,A0,82,80,99,43,22:1:906
8,0,88,A0,82,80,99,4C,22:1:916
1,0,81,A0,82,80,81,5D,22:1:926
2,0,82,A0,82,80,81,5E,22:1:946
3,0,83,A0,82,80,81,5F,22:1:956
4,0,84,A0,82,80,81,58,22:2:16
5,0,85,A0,82,80,81,59,22:2:26
6,0,86,A0,82,80,81,5A,22:2:36
7,0,87,A0,82,80,81,5B,22:2:46
8,0,88,A0,82,80,81,54,22:2:66
1,0,81,A0,82,80,82,5E,22:2:76
2,0,82,A0,82,80,82,5D,22:2:86
3,0,83,A0,82,80,82,5C,22:2:96
4,0,84,A0,82,80,82,5B,22:2:106
5,0,85,A0,82,80,82,5A,22:2:116
6,0,86,A0,82,80,82,59,22:2:126
7,0,87,A0,82,80,82,58,22:2:136
8,0,88,A0,82,80,82,57,22:2:146
1,0,81,A0,82,80,83,5F,22:2:156
2,0,82,A0,82,80,83,5C,22:2:167
3,0,83,A0,82,80,83,5D,22:2:177
4,0,84,A0,82,80,83,5A,22:2:197
5,0,85,A0,82,80,83,5B,22:2:207
6,0,86,A0,82,80,83,58,22:2:217
7,0,87,A0,82,80,83,59,22:2:227
8,0,88,A0,82,80,83,56,22:2:237
1,0,81,A0,82,80,84,58,22:2:247
2,0,82,A0,82,80,84,5B,22:2:257
3,0,83,A0,82,80,84,5A,22:2:267
4,0,84,A0,82,80,84,5D,22:2:277
5,0,85,A0,82,80,84,5C,22:2:297
6,0,86,A0,82,80,84,5F,22:2:307
7,0,87,A0,82,80,84,5E,22:2:317
8,0,88,A0,82,80,84,51,22:2:327
1,0,81,A0,82,80,85,59,22:2:337
2,0,82,A0,82,80,85,5A,22:2:347
3,0,83,A0,82,80,85,5B,22:2:357
4,0,84,A0,82,80,85,5C,22:2:367
5,0,85,A0,82,80,85,5D,22:2:377
6,0,86,A0,82,80,85,5E,22:2:387
7,0,87,A0,82,80,85,5F,22:2:417
8,0,88,A0,82,80,85,50,22:2:427
1,0,81,A0,82,80,86,5A,22:2:437
2,0,82,A0,82,80,86,59,22:2:447
3,0,83,A0,82,80,86,58,22:2:457
4,0,84,A0,82,80,86,5F,22:2:467
5,0,85,A0,82,80,86,5E,22:2:477
6,0,86,A0,82,80,86,5D,22:2:487
7,0,87,A0,82,80,86,5C,22:2:497
8,0,88,A0,82,80,86,53,22:2:517
