CAR,TYPE,MSG0,MSG1,MSG2,MSG3,MSG4,MSG5,TIME
3,0,83,A1,FF,C0,85,67,30:10:556
10,3,BA,A2,80,80,80,67,30:10:576
1,0,81,A1,FF,C0,81,61,30:10:857
1,3,B1,80,80,80,80,4E,30:10:967
1,7,F1,86,80,80,80,08,30:10:967
2,0,82,A1,FF,C0,8C,6F,30:11:17
3,0,83,84,96,80,85,6B,30:11:77
3,3,B3,C0,80,80,80,0C,30:11:77
2,3,B2,E0,80,80,80,2D,30:11:87
10,3,BA,A3,80,80,80,66,30:11:97
1,0,81,84,96,80,81,6D,30:11:358
2,0,82,84,96,80,8C,63,30:11:538
3,0,83,A1,FF,C0,85,67,30:11:538
10,3,BA,80,80,80,80,45,30:11:558
1,0,81,A1,FF,C0,81,61,30:11:878
2,0,82,A1,FF,C0,8C,6F,30:12:39
3,0,83,84,96,80,85,6B,30:12:39
10,3,BA,A1,80,80,80,64,30:12:59
1,3,B1,A0,80,80,80,6E,30:12:279
1,0,81,84,96,80,81,6D,30:12:389
3,3,B3,E0,80,80,80,2C,30:12:449
2,3,B2,80,80,80,80,4D,30:12:449
2,7,F2,86,80,80,80,0B,30:12:459
2,0,82,84,96,80,8C,63,30:12:499
3,0,83,A1,FF,C0,85,67,30:12:559
10,3,BA,A2,80,80,80,67,30:12:579
1,0,81,A1,FF,C0,81,61,30:12:850
3,7,F3,A4,80,83,80,2B,30:12:960
2,5,D2,CA,E4,90,80,13,30:12:960
2,5,D2,CA,E5,99,80,1B,30:12:960
2,5,D2,CA,E6,AE,80,2F,30:12:970
2,5,D2,CA,E7,80,80,00,30:12:980
2,5,D2,CA,E8,95,80,1A,30:12:980
2,7,F2,9F,80,80,80,12,30:12:990
2,0,82,A1,FF,C0,8C,6F,30:13:10
3,0,83,84,96,80,85,6B,30:13:70
10,3,BA,A3,80,80,80,66,30:13:90
1,0,81,84,96,80,81,6D,30:13:360
2,0,82,84,96,80,8C,63,30:13:511
3,0,83,A1,FF,C0,85,67,30:13:571
1,3,B1,C0,80,80,80,0E,30:13:581
10,3,BA,80,80,80,80,45,30:13:581
